Country,Region,CEI,GCI,NCSI,DDL,CEI_norm,GCI_norm,NCSI_norm,DDL_norm,Risk_Score,Risk_Category
Afghanistan,Asia-Pasific,1.0,5.2,11.69,19.5,0.0,0.039026862645717184,0.10959915611814346,0.11447717436828142,0.06577579828303551,High Risk
Albania,Europe,0.566,64.32,62.34,48.74,0.4876404494382023,0.6383172833248858,0.6438818565400845,0.5226860254083484,0.5731314036778803,Medium Risk
Algeria,Africa,0.721,33.95,33.77,42.81,0.3134831460674158,0.33046122655854027,0.34251054852320684,0.4398994834566522,0.35658860115145374,Medium Risk
Andorra,Europe,0.483,26.38,40.26,51.79,0.5808988764044944,0.2537252914343639,0.41097046413502114,0.5652659500209408,0.45271514549870506,Medium Risk
Angola,Africa,0.483,12.99,9.09,22.69,0.5808988764044944,0.11799290420679169,0.08217299578059072,0.159011587323747,0.23501909092890594,High Risk
Antigua and Barbuda,North America,0.483,15.62,11.69,57.1,0.5808988764044944,0.14465281297516472,0.10959915611814346,0.6393969007399133,0.368636936559429,Medium Risk
Argentina,South America,0.514,50.12,63.64,60.43,0.5460674157303371,0.4943740496705524,0.6575949367088608,0.685885802038252,0.5959805510370006,Medium Risk
Armenia,Europe,0.655,50.47,35.06,55.06,0.3876404494382022,0.49792194627470854,0.35611814345991566,0.6109172134580483,0.4631494381577187,Medium Risk
Australia,Asia-Pasific,0.131,97.47,66.23,77.61,0.9764044943820225,0.9743537759756715,0.6849156118143461,0.9257294429708222,0.8903508312857156,Low Risk
Austria,Europe,0.162,93.89,68.83,75.76,0.9415730337078652,0.9380638621388748,0.7123417721518988,0.8999022755828563,0.8729702358953737,Low Risk
Azerbaijan,Europe,0.531,89.31,59.74,54.78,0.5269662921348315,0.8916371008616321,0.6164556962025317,0.6070082367723021,0.6605168314928244,Medium Risk
Bahamas,North America,0.483,13.37,20.78,65.1,0.5808988764044944,0.12184490623416117,0.20548523206751057,0.7510819489040903,0.41482774090256413,Medium Risk
Bahrain,Asia-Pasific,0.483,77.86,25.97,65.17,0.5808988764044944,0.7755701976685251,0.2602320675105485,0.7520591930755269,0.5921900836647738,Medium Risk
Bangladesh,Asia-Pasific,0.759,81.27,67.53,33.11,0.2707865168539326,0.810136847440446,0.6986286919831224,0.30448136255758756,0.5210083547087722,Medium Risk
Barbados,North America,0.483,16.89,19.48,73.1,0.5808988764044944,0.15752660922453118,0.19177215189873417,0.8627669970682673,0.4482411586490068,Medium Risk
Belarus,Europe,0.614,50.57,53.25,62.33,0.4337078651685393,0.4989356310187531,0.5479957805907173,0.7124110009772441,0.5482625694388135,Medium Risk
Belgium,Europe,0.19,96.25,94.81,74.07,0.9101123595505618,0.9619868220983274,0.9863924050632912,0.8763088091581738,0.9337000989675885,Low Risk
Belize,North America,0.483,10.29,18.18,37.1,0.5808988764044944,0.09062341611758742,0.1780590717299578,0.36018428032947086,0.30244141114537765,High Risk
Benin,Africa,0.483,80.06,58.44,25.83,0.5808988764044944,0.7978712620375064,0.6027426160337553,0.20284796872818645,0.5460901808009856,Medium Risk
Bhutan,Asia-Pasific,0.483,18.34,18.18,36.9,0.5808988764044944,0.17222503801317787,0.1780590717299578,0.3573921541253664,0.32214378506824914,High Risk
Bolivia,South America,0.783,16.14,31.17,42.09,0.24382022471910114,0.14992397364419666,0.31508438818565404,0.4298478291218763,0.28466910391770706,High Risk
Bosnia and Herzegovina,Europe,0.583,29.44,28.57,49.31,0.46853932584269664,0.2847440446021287,0.28765822784810124,0.530643585090046,0.39289629584574315,Medium Risk
Botswana,Africa,0.483,53.06,29.87,41.96,0.5808988764044944,0.5241763811454637,0.30137130801687767,0.42803294708920836,0.458619878164011,Medium Risk
